CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
4c44750fcce092d3cbc97adb5cfc6081d4212249add04a04504b71ac6d0d59bd0c8ebec73111a9a0b8f5140e33f76fa2eabdbfc7fe27c27600a6803ad2d33bb1,JF319089,,07/15/2022 09:17:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",07/15/2022 09:17:00 PM,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,375,E,47TH ST,224,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,6,7,41.80927415,-87.616598442,POINT (-87.616598442402 41.809274149635)
72c272439fc6c2e94695ab0368946b8dadba9cf2c4f7c4acc4dec6f42e5a9b1d263f970ba4d61a922a7aa823d6c8fa8f014abb2dc5dba822d0eaf4fe1f6ad25b,JF318951,Y,07/15/2022 06:00:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PEDALCYCLIST,DRIVEWAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/15/2022 06:45:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3806,W,DIVISION ST,2535,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,7,41.902819868,-87.721766452,POINT (-87.721766452123 41.902819868301)
a59ddd18e2e96078ba31c13a17050944c6d198ab675d4f10c0f985be5e13d29cf9af0ce16f77ec65c32f2b065f949c04232380d4ed342bd335f21ce3f5976cba,JF318044,,07/15/2022 01:20:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,07/15/2022 01:23:00 AM,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,131,W,CHESTNUT ST,1832,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,1,6,7,41.897846069,-87.632663188,POINT (-87.632663188069 41.89784606938)
d9d1485925fdc45ec5860359f52010cef8d100502570e9c8655628922b6daf4de54e32954fc937cebeb50a82d22a6b2a2c6be0b596378d1554ff866d5edddc6b,JF318891,,07/15/2022 05:29:00 PM,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",07/15/2022 05:34:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,4001,W,83RD ST,834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,17,6,7,41.742068093,-87.721736224,POINT (-87.72173622434 41.742068093164)
7a29b0d3f9cfbcf115fa5a2a1739dfc35c9e7d9e9aa306fed040f3b3ce098a6422e31468bf8801e5f0d1111391515f00f539e5ce657330686ac7652ebe168cef,JE400982,,10/07/2021 05:31:00 AM,45,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DARKNESS,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,10/07/2021 05:39:00 AM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,500,S,LAKE SHORE DR NB,114,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,5,5,10,41.875756255,-87.61751568,POINT (-87.617515679751 41.875756255241)
7954fc0aa5938631e35b8145207ef6adbbd24ba671995030108a857e26c9742e7b1e51dcbf3b65300faad1bccd0815db5f04f7336c099bd0dcbb9ddb1ef5ca6b,JE459234,,11/28/2021 11:57:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,11/28/2021 12:10:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1398,N,PULASKI RD,2534,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,11,1,11,41.906127875,-87.726554031,POINT (-87.726554030886 41.906127875249)
797605dbfca19f3d22ed626d8b76c6f1cb00372b6d167dd3062c7a5e90dcfa2524d4b0df9eaa35aabcdcdb059e384f63105c48c31239e6d50b9f3eb2f0b13fea,JF299989,,06/30/2022 01:01:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,06/30/2022 01:01:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,2446,W,DEVON AVE,2412,,,Y,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,13,5,6,41.997810042,-87.691759277,POINT (-87.691759277311 41.997810041873)
3e73bd5b2eb4ff4f5413c8b5299dda0bd15c26e0c979acfe3938f652e537f58e8da348131dfa2a8cba257033aaa0f8f8d564e548a9373807e4f31fbe1afbebd1,JF338041,,07/30/2022 09:50:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"$501 - $1,500",07/30/2022 10:01:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2301,S,CANAL ST,914,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,21,7,7,41.850841265,-87.638334576,POINT (-87.63833457638 41.850841264825)
41bf5b03f9c5a909d9a8e2e80e56a21929894042ba80fd3a4716fe575ccbbc02102d6332cf41b3e19447172a5865bdf25ac68bbe29de906ce0d0763764d70362,JF334605,,07/28/2022 10:17:00 AM,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",07/28/2022 10:20:00 AM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,1400,W,DIVISION ST,1433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,5,7,41.90351744,-87.662691034,POINT (-87.662691034405 41.903517439918)
5282715df5657cfa26a9c1b178f61145239273827865a5e21222f353d0d07f8682cece8d5016f3b3803af21b37e6e1137fc7071c87ad771277da70db4d34cebe,JF334936,,07/28/2022 01:00:00 PM,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/28/2022 03:12:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,3702,W,64TH ST,823,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,5,7,41.777048767,-87.715558311,POINT (-87.715558310836 41.777048766535)
